FIRE_NAME,FIRE_SIZE,STATE,FIRE_YEAR,STAT_CAUSE_DESCR
FOUR,3000.0,AZ,2005,Lightning
MEMORIAL,650.0,AZ,2005,Miscellaneous
MILES,1056.0,AZ,2005,Lightning
NO MANS LAND,8294.0,AR,2006,Lightning
WINDY,6343.0,OK,2006,Miscellaneous
I-40,427696.0,TX,2006,Miscellaneous
SQUARE TOP,1000.0,OK,2006,Equipment Use
STEELER,2380.0,KS,2006,Arson
FLATSIDE,5091.0,AR,2006,Lightning
BULL RUN,885.0,AZ,2005,Lightning
MARYHILL,801.0,WA,2006,Miscellaneous
TAYLOR,1830.0,NM,2006,Lightning
BRUSHY,1701.0,NM,2006,Lightning
HACKBERRY,2031.0,AZ,2006,Lightning
SAND,1248.0,AZ,2006,Miscellaneous
ROMERO,880.0,AZ,2006,Lightning
GOODALE,3747.1,CA,2006,Lightning
CHIPPEAN RIDGE,2500.0,UT,2006,Lightning
JACKASS,6255.0,CA,2006,Lightning
MARTINEZ,3162.0,NM,2006,Lightning
MARTINEZ II,6618.0,NM,2006,Lightning
WILSON,5216.0,NM,2006,Lightning
MCKAY,825.0,OK,2006,Lightning
TIGER,5143.0,AZ,2006,Lightning
BEAR PAW,3075.0,NM,2006,Miscellaneous
277,3259.0,FL,2006,Lightning
TECOLATE,1500.0,CO,2006,Debris Burning
RUSH,4850.0,CA,2006,Lightning
WEST WFU,1925.0,AZ,2006,Lightning
COLE CREEK,1000.0,MT,2006,Lightning
SHANE RIDGE,1000.0,MT,2006,Lightning
SAUNDERS,3000.0,MT,2006,Debris Burning
LION CREEK,1499.0,CO,2006,Miscellaneous
ARCO,689.09,CA,2006,Miscellaneous
RIDGE,2418.0,CA,2006,Lightning
BEAVERHEAD,1497.0,AZ,2006,Miscellaneous
CORNFIELD,1143.0,AZ,2006,Equipment Use
EAST ELK,724.0,ID,2006,Lightning
MOUNTAIN MEADOW,2329.0,ID,2006,Lightning
SHARPS RIDGE,5394.9,OR,2006,Lightning
BEAR,55307.0,NM,2006,Campfire
WARM,58630.0,AZ,2006,Lightning
HOTLUM,2815.0,CA,2006,Debris Burning
HIGH,1049.0,CA,2006,Lightning
POTATO,6262.0,AZ,2006,Lightning
BLACK HORSE CREEK,7829.4,SD,2006,Lightning
BALLS CANYON,1805.0,CA,2006,Lightning
VERDI (STONE RIDGE),6052.0,NV,2006,Miscellaneous
TROY PEAK,1183.0,NV,2006,Lightning
SIERRA,10584.0,CA,2006,Miscellaneous
SOUTH PINE,788.0,MT,2006,Lightning
BIG CREEK,14000.0,MT,2006,Lightning
DERBY,207115.0,MT,2006,Lightning
PASSAGE FALLS,6620.0,MT,2006,Lightning
JUNGLE,25828.0,MT,2006,Lightning
0564 - MAXWELL FIRE,7145.0,OR,2006,Lightning
ROBERTS TRACT,10079.0,NE,2006,Lightning
SPOTTED TAIL #3,17899.0,NE,2006,Lightning
WATT DRAW,17552.0,MT,2006,Lightning
SNOW CANYON,22233.6,NV,2006,Lightning
RB-78,1600.0,TX,2006,Lightning
MILKSHAKE,3500.0,TX,2006,Lightning
POTATO,18236.0,ID,2006,Lightning
BOUNDARY,11005.0,ID,2006,Lightning
HOLLAND PEAK,1840.0,MT,2006,Lightning
TRAILHEAD,4252.0,ID,2006,Miscellaneous
BRUSHSHACK,702.0,MT,2006,Lightning
TANGO POINT,1467.0,MT,2006,Lightning
JENNY CREEK,1020.0,MT,2006,Lightning
SUN DOG,1560.0,MT,2006,Lightning
BLUEGRASS,1850.0,OR,2006,Lightning
HORSE,16677.0,CA,2006,Campfire
ADAVAN,959.0,NV,2006,Lightning
SHERWOOD,7378.0,NV,2006,Lightning
DEEP CREEK,1484.0,UT,2006,Lightning
CUB (WFU),3908.0,ID,2006,Lightning
