STATE,FIRE_YEAR,AVERAGE_FIRE_SIZE,average_days_to_control,average_hours_to_control,TOTAL_FIRE_SIZE,total_days_to_control,total_hours_to_control
AR,1992,11.550781249999996,0.1452991452991453,7.200940170940168,1478.4999999999995,17.0,842.5099999999996
AR,1993,11.656953642384101,0.22142857142857142,8.744642857142857,1760.1999999999994,31.0,1224.25
AR,1994,13.795808383233512,0.20134228187919462,8.823422818791949,2303.8999999999965,30.0,1314.6900000000003
AR,1995,21.62666666666667,0.29130434782608694,11.424391304347825,5190.400000000001,67.0,2627.6099999999997
AR,1996,23.601785714285718,0.2186046511627907,9.83837209302326,5286.800000000001,47.0,2115.250000000001
AR,1997,11.002307692307694,0.45901639344262296,15.044098360655736,11442.400000000001,56.0,1835.3799999999999
AR,1998,11.265657439446365,0.2222222222222222,9.60259259259259,13023.099999999999,30.0,1296.3499999999997
AR,1999,10.805890287769785,2.3152173913043477,59.70548913043477,24032.300000000003,426.0,10985.809999999998
AR,2000,12.294752433347437,0.5268817204301075,17.622204301075268,29052.499999999993,98.0,3277.73
AR,2001,11.415323854660349,0.3963963963963964,13.673873873873875,14451.800000000001,44.0,1517.8000000000002
AR,2002,13.635364635364633,0.4444444444444444,15.161944444444446,13648.999999999998,48.0,1637.4900000000002
AR,2003,15.616688701923076,0.4732142857142857,15.482410714285717,25986.17,53.0,1734.0300000000002
AR,2004,17.336121700879755,0.061224489795918366,5.8919387755102015,23646.469999999987,6.0,577.4099999999997
AR,2005,17.61031794860627,4.891566265060241,121.864156626506,40433.29001,812.0,20229.449999999997
AR,2006,26.425441462465955,1.125,31.258318965517233,67939.80999999997,261.0,7251.9299999999985
AR,2007,19.742059953881633,0.7008547008547008,20.646379310344827,25684.420000000002,82.0,2394.98
AR,2008,12.683386183465458,1.4642857142857142,38.31232142857143,11199.43,82.0,2145.4900000000002
AR,2009,16.52020446096654,4.0,100.42280701754385,17775.739999999998,232.0,5724.099999999999
AR,2010,15.655274774774774,0.20833333333333334,8.434999999999999,34754.71,20.0,809.7599999999999
AR,2011,18.813703849175123,0.07353519465198584,4.363507922535217,47899.689999999864,187.0,9913.890000000014
AR,2012,16.52424074861761,0.05061675882603148,3.6842505800464056,38848.490000000005,119.0,7939.560000000004
AR,2013,15.700932703659975,0.32051282051282054,10.995384615384616,13298.689999999999,25.0,857.64
AR,2014,16.24834749034749,0.034055727554179564,2.789090128755365,21041.61,44.0,3249.29
AR,2015,14.532513576415832,0.048221343873517786,3.361624775583483,18732.410000000007,61.0,3744.8500000000004
AZ,1992,12.190512306811534,0.45656565656565656,13.867312518237519,42593.6499999995,1582.0,47523.27999999998
AZ,1993,44.31278723862958,0.2889858233369684,9.830213999108341,205567.02000000264,1325.0,44098.34000000002
AZ,1994,49.61268754149331,0.6593554162936437,18.942619263970947,224199.73500000825,2946.0,83385.4100000001
AZ,1995,58.230304309196896,0.477921498661909,14.65612528473806,262152.83000000444,2143.0,64340.39000000009
AZ,1996,49.827323850041864,0.8923982869379015,25.55189834316203,187400.56500000745,3334.0,90990.30999999998
AZ,1997,5.93640000000004,0.7604306864064603,21.03438848920869,13356.90000000009,1695.0,46780.48000000013
AZ,1998,10.219783501306564,0.5453519006398193,15.640459683496628,27378.800000000283,1449.0,41509.78000000005
AZ,1999,26.973318713450627,0.8988566402814424,24.45187142228095,73799.00000000092,2044.0,55530.20000000003
AZ,2000,24.07626328064283,0.9259814204375187,25.315301168714438,92910.30000000069,3090.0,84477.16000000008
AZ,2001,11.241914626490827,0.6789024842417501,19.233396366332954,35816.73999999977,1831.0,51872.46999999998
AZ,2002,215.8120082248052,0.6414225941422594,18.588364016736406,629739.4399999816,1533.0,44426.19000000001
AZ,2003,68.59081618655884,0.8465840990811027,23.330811350919287,200010.82000000557,2119.0,58373.69000000006
AZ,2004,80.77021807949636,1.186995153473344,31.42101496158506,229629.73000000813,2939.0,77704.16999999985
AZ,2005,244.67945528184092,1.116010854816825,29.946770904146852,902867.189989993,3290.0,88103.40000000004
AZ,2006,54.69538415185487,1.5578947368421052,40.5787540864511,181533.9800000063,4292.0,111713.30999999987
AZ,2007,47.150523945968466,1.545108005082592,39.93041119118269,115188.73000000096,3648.0,94195.83999999997
AZ,2008,60.018640674395726,1.7101758124667021,43.624147121535174,113915.38000000309,3210.0,81838.89999999998
AZ,2009,95.1844320617241,3.4245423057892133,85.38710539336982,222065.2800000023,6921.0,172567.3400000004
AZ,2010,54.250970933829414,2.987551867219917,74.90332641770395,87723.82000000216,4320.0,108310.20999999992
AZ,2011,542.7662709204909,3.0581088219756998,69.30772425249168,1037769.1099999786,5789.0,125169.74999999999
AZ,2012,130.01056818181976,2.3387189844200806,60.058654970760216,228818.6000000028,4053.0,102700.29999999997
