FIRE_YEAR,STAT_CAUSE_DESCR,STATE,COUNT_CAUSES
2008,Railroad,36,36
2008,Smoking,45,45
2008,Structure,12,12
2009,Arson,47,47
2009,Campfire,44,44
2009,Children,40,40
2009,Debris Burning,46,46
2009,Equipment Use,43,43
2009,Fireworks,24,24
2009,Lightning,41,41
2009,Miscellaneous,48,48
2009,Missing/Undefined,38,38
2009,Powerline,28,28
2009,Railroad,35,35
2009,Smoking,41,41
2009,Structure,19,19
2010,Arson,43,43
2010,Campfire,47,47
2010,Children,40,40
2010,Debris Burning,45,45
2010,Equipment Use,42,42
2010,Fireworks,29,29
2010,Lightning,44,44
2010,Miscellaneous,46,46
2010,Missing/Undefined,40,40
2010,Powerline,31,31
2010,Railroad,42,42
2010,Smoking,44,44
2010,Structure,22,22
2011,Arson,46,46
2011,Campfire,44,44
2011,Children,39,39
2011,Debris Burning,44,44
2011,Equipment Use,42,42
2011,Fireworks,27,27
2011,Lightning,41,41
2011,Miscellaneous,48,48
2011,Missing/Undefined,37,37
2011,Powerline,30,30
2011,Railroad,37,37
2011,Smoking,36,36
2011,Structure,20,20
2012,Arson,48,48
2012,Campfire,48,48
2012,Children,46,46
2012,Debris Burning,49,49
2012,Equipment Use,48,48
2012,Fireworks,35,35
2012,Lightning,47,47
2012,Miscellaneous,50,50
2012,Missing/Undefined,42,42
2012,Powerline,22,22
2012,Railroad,41,41
2012,Smoking,46,46
2012,Structure,26,26
2013,Arson,47,47
2013,Campfire,46,46
2013,Children,45,45
2013,Debris Burning,48,48
2013,Equipment Use,47,47
2013,Fireworks,30,30
2013,Lightning,43,43
2013,Miscellaneous,48,48
2013,Missing/Undefined,40,40
2013,Powerline,36,36
2013,Railroad,38,38
2013,Smoking,43,43
2013,Structure,26,26
2014,Arson,48,48
2014,Campfire,46,46
2014,Children,42,42
2014,Debris Burning,48,48
2014,Equipment Use,45,45
2014,Fireworks,34,34
2014,Lightning,45,45
2014,Miscellaneous,47,47
2014,Missing/Undefined,37,37
2014,Powerline,38,38
2014,Railroad,38,38
2014,Smoking,42,42
2014,Structure,28,28
2015,Arson,50,50
2015,Campfire,50,50
2015,Children,43,43
2015,Debris Burning,49,49
2015,Equipment Use,49,49
2015,Fireworks,34,34
2015,Lightning,44,44
2015,Miscellaneous,50,50
2015,Missing/Undefined,41,41
2015,Powerline,37,37
2015,Railroad,36,36
2015,Smoking,47,47
2015,Structure,33,33
