STATE,FIRE_YEAR,average_days_to_control,total_days_to_control
AR,2001,0.3963963963963964,44.0
AR,2002,0.4444444444444444,48.0
AR,2003,0.4732142857142857,53.0
AR,2004,0.061224489795918366,6.0
AR,2005,4.891566265060241,812.0
AR,2006,1.125,261.0
AR,2007,0.7008547008547008,82.0
AR,2008,1.4642857142857142,82.0
AR,2009,4.0,232.0
AR,2010,0.20833333333333331,20.0
AR,2011,0.07353519465198584,187.0
AR,2012,0.050616758826031484,119.0
AR,2013,0.3205128205128205,25.0
AR,2014,0.034055727554179564,44.0
AR,2015,0.04822134387351778,61.0
AZ,1992,0.4565656565656566,1582.0
AZ,1993,0.2889858233369684,1325.0
AZ,1994,0.6593554162936437,2946.0
AZ,1995,0.477921498661909,2143.0
AZ,1996,0.8923982869379015,3334.0
AZ,1997,0.7604306864064603,1695.0
AZ,1998,0.5453519006398193,1449.0
AZ,1999,0.8988566402814424,2044.0
AZ,2000,0.9259814204375189,3090.0
AZ,2001,0.6789024842417501,1831.0
AZ,2002,0.6414225941422594,1533.0
AZ,2003,0.8465840990811027,2119.0
AZ,2004,1.186995153473344,2939.0
AZ,2005,1.116010854816825,3290.0
AZ,2006,1.5578947368421052,4292.0
AZ,2007,1.5451080050825918,3648.0
AZ,2008,1.710175812466702,3210.0
AZ,2009,3.4245423057892133,6921.0
AZ,2010,2.987551867219917,4320.0
AZ,2011,3.0581088219757,5789.0
AZ,2012,2.3387189844200806,4053.0
AZ,2013,2.019863438857852,3254.0
AZ,2014,1.2726626377532884,3580.0
AZ,2015,0.7113459399332592,2558.0
CA,1992,0.4462588349987814,1831.0
CA,1993,0.30920245398773005,756.0
CA,1994,0.5741222366710013,1766.0
CA,1995,0.405531914893617,953.0
CA,1996,0.5246730083234245,1765.0
CA,1997,0.4478821362799264,1216.0
CA,1998,0.7081065597250071,2472.0
CA,1999,0.6305349629332799,3147.0
CA,2000,0.6809686759673599,2587.0
CA,2001,0.6271148708815673,2817.0
CA,2002,0.5175531914893617,1946.0
CA,2003,1.0042223786066151,4281.0
CA,2004,0.479539641943734,1875.0
CA,2005,0.6137581054412179,2177.0
CA,2006,1.366488496397862,5880.0
CA,2007,0.7330804551806748,3672.0
CA,2008,4.122748219522413,9841.0
CA,2009,0.8117218341937443,2673.0
CA,2010,1.248409775694677,3729.0
CA,2011,1.4298642533936652,2844.0
CA,2012,1.1682242990654206,2875.0
CA,2013,0.5717188134904511,4221.0
CA,2014,0.7250900360144058,4228.0
CA,2015,1.244504111428092,7416.0
CO,1992,0.3865921787709497,346.0
CO,1993,0.4131812420785805,326.0
CO,1994,0.8048162230671736,1270.0
CO,1995,0.5257611241217799,449.0
CO,1996,0.6605839416058394,905.0
CO,1997,0.6367521367521367,447.0
CO,1998,0.6859060402684564,511.0
CO,1999,0.8394062078272605,622.0
CO,2000,0.7674563591022444,1231.0
CO,2001,1.656525220176141,2069.0
CO,2002,2.0083612040133785,2402.0
CO,2003,1.4423076923076923,2325.0
CO,2004,1.6,1680.0
CO,2005,2.160081053698075,2132.0
CO,2006,1.0869565217391304,1425.0
CO,2007,1.9756326148078724,2108.0
CO,2008,2.4014510278113663,1986.0
CO,2009,3.3736842105263163,3205.0
CO,2010,1.1951640759930915,2076.0
CO,2011,2.4868282402528976,2360.0
CO,2012,2.2422586520947183,2462.0
CO,2013,0.7227366255144033,2810.0
CO,2014,1.8480801335559265,1107.0
CO,2015,2.3586337760910814,1243.0
CT,1992,,0.0
CT,1993,3.0,3.0
CT,1994,,0.0
CT,1995,,0.0
CT,1996,,0.0
CT,1997,,0.0
CT,1998,,0.0
CT,1999,,0.0
CT,2000,,0.0
CT,2001,,0.0
CT,2002,2.0,2.0
CT,2003,,0.0
CT,2004,,0.0
CT,2005,,0.0
CT,2006,,0.0
CT,2007,0.0,0.0
CT,2008,1.0,1.0
CT,2009,,0.0
CT,2010,0.0,0.0
CT,2011,0.004405286343612335,1.0
CT,2012,0.0,0.0
CT,2015,1.5,6.0
DC,1992,0.0,0.0
DC,1993,0.0,0.0
DC,1994,0.0,0.0
DC,1995,0.0,0.0
DC,1997,0.0,0.0
DC,1998,0.0,0.0
DC,1999,0.14285714285714285,1.0
DC,2001,0.0,0.0
DC,2002,0.0,0.0
DC,2005,0.0,0.0
DC,2006,0.0,0.0
DC,2007,0.0,0.0
DC,2008,0.0,0.0
DC,2009,0.0,0.0
DC,2010,0.0,0.0
DC,2011,0.0,0.0
DC,2012,0.0,0.0
DC,2013,0.0,0.0
DC,2014,0.0,0.0
DC,2015,0.0,0.0
DE,1992,0.0,0.0
DE,1993,,0.0
DE,1994,0.0,0.0
DE,1995,0.0,0.0
DE,1997,0.2,1.0
DE,1999,0.0,0.0
DE,2000,6.0,6.0
DE,2001,0.0,0.0
DE,2002,0.0,0.0
DE,2003,,0.0
DE,2004,3.0,3.0
DE,2005,0.0,0.0
DE,2007,0.5,1.0
DE,2010,,0.0
DE,2012,0.0,0.0
DE,2013,0.0,0.0
DE,2014,0.0,0.0
DE,2015,0.1875,3.0
FL,1992,0.4595588235294117,125.0
FL,1993,0.451827242524917,136.0
FL,1994,0.4805194805194805,111.0
FL,1995,1.0182926829268293,167.0
FL,1996,0.5913461538461539,123.0
FL,1997,0.2880434782608696,53.0
FL,1998,2.9704142011834316,1004.0
FL,1999,0.7846715328467153,215.0
FL,2000,0.7209302325581395,279.0
FL,2001,0.8859934853420195,272.0
FL,2002,0.3798076923076923,79.0
FL,2003,0.528169014084507,75.0
FL,2004,2.4862745098039216,634.0
FL,2005,0.5562913907284768,84.0
FL,2006,2.073369565217391,763.0
FL,2007,3.0806845965770173,1260.0
