STATE,FIRE_YEAR,AVERAGE_FIRE_SIZE,TOTAL_FIRE_SIZE
AZ,2004,80.77021807949636,229629.73000000807
AZ,2005,244.67945528184086,902867.189989993
AZ,2006,54.69538415185487,181533.9800000063
AZ,2007,47.150523945968466,115188.73000000096
AZ,2008,60.018640674395726,113915.38000000306
AZ,2009,95.1844320617241,222065.2800000023
AZ,2010,54.2509709338294,87723.82000000216
AZ,2011,542.7662709204909,1037769.1099999786
AZ,2012,130.01056818181976,228818.6000000028
AZ,2013,62.013741741741974,103252.88000000037
AZ,2014,71.84447100424704,203176.16400001067
AZ,2015,40.7997564807583,155814.27000001597
CA,1992,27.36451583125489,296439.7999999843
CA,1993,38.874885126960116,321495.2999999602
CA,1994,47.13943840997872,407944.699999956
CA,1995,29.273635008808064,216068.70000001235
CA,1996,77.08606780769135,707110.499999953
CA,1997,40.928915510715214,324566.2999999717
CA,1998,23.311931818183325,160013.1000000104
CA,1999,90.24953984286437,804123.3999999212
CA,2000,36.215565429269326,252676.0000000121
CA,2001,42.79842336836576,350176.6999999686
CA,2002,72.19160241132002,514942.6999999457
CA,2003,130.41388221912652,1031965.0499999481
CA,2004,40.589912375302745,301095.9699999958
CA,2005,38.74137017071092,258714.8700000075
CA,2006,98.26042074718193,812711.9399999416
CA,2007,102.97425081272124,1045291.6199999332
CA,2008,184.6789256198534,1430153.6000001447
CA,2009,65.61239769452078,455350.0399999742
CA,2010,20.939584487534848,120947.04000000127
CA,2011,22.458177995796408,192286.92000000892
CA,2012,106.09970033295906,764766.6399999689
CA,2013,66.65256127478574,581410.291999956
CA,2014,84.21293193716531,546878.7799999516
CA,2015,115.2381004752167,848728.6099999709
CO,1992,5.636838124054501,7451.9000000000515
CO,1993,28.581430868166684,35555.299999999355
CO,1994,28.135427435387502,70760.59999999957
CO,1995,13.212722478576193,20043.700000000084
CO,1996,49.85088967971484,70040.49999999935
CO,1997,8.363157894736931,6038.2000000000635
CO,1998,10.95320261437918,8379.200000000073
CO,1999,26.870238095237927,20313.899999999874
CO,2000,71.51593576281806,115784.30000000245
CO,2001,18.171958925750527,23005.700000000164
CO,2002,390.20618345617424,476441.7499999888
CO,2003,18.832332782823716,45611.90999999905
CO,2004,25.797923664121896,33795.279999999686
CO,2005,21.02055466666586,39413.53999999849
CO,2006,34.87367781154978,45893.75999999952
CO,2007,13.108457943925295,14026.050000000068
CO,2008,110.36810837438551,112023.63000000127
CO,2009,39.62600840336094,37723.95999999961
CO,2010,19.26319970304296,51895.059999997735
CO,2011,132.9368547544401,127220.56999999919
CO,2012,245.26527124774282,271263.3900000035
