STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,DISCOVERY_DATE
ID,2005,0.25,A,2005-08-20
ID,2005,0.25,A,2005-08-14
AR,2005,9.0,B,2005-04-02
CA,2005,0.25,A,2005-07-31
ID,2005,0.25,A,2005-08-02
ID,2005,0.25,A,2005-07-01
CA,2005,0.25,A,2005-08-09
CA,2005,0.25,A,2005-10-02
MT,2005,0.25,A,2005-08-22
WY,2005,0.25,A,2005-08-26
CO,2005,995.0,E,2005-09-28
OR,2005,0.25,A,2005-08-08
OR,2005,0.25,A,2005-08-01
OR,2005,0.25,A,2005-08-06
CA,2005,0.25,A,2005-09-27
CA,2005,0.25,A,2005-09-11
ID,2005,0.25,A,2005-08-02
CA,2005,0.25,A,2005-09-27
CA,2005,0.25,A,2005-08-16
ID,2005,0.25,A,2005-07-30
SC,2005,0.25,A,2005-09-17
OK,2005,0.25,A,2005-08-19
MI,2005,0.25,A,2005-06-06
MI,2005,0.25,A,2005-06-06
KY,2005,0.25,A,2005-03-20
CA,2005,0.25,A,2005-07-25
OR,2005,0.25,A,2005-09-20
CO,2005,0.25,A,2005-06-13
CA,2005,0.25,A,2005-07-29
CA,2005,0.25,A,2005-09-24
CA,2005,0.25,A,2005-09-27
CA,2005,0.25,A,2005-09-27
MO,2005,0.25,A,2005-03-06
MO,2005,0.25,A,2005-03-06
MO,2005,0.25,A,2005-03-06
MO,2005,0.25,A,2005-03-06
MO,2005,9.0,B,2005-03-11
ID,2005,0.25,A,2005-09-06
NM,2005,0.25,A,2005-06-26
CA,2005,0.25,A,2005-09-27
CA,2005,0.25,A,2005-10-04
CA,2005,0.25,A,2005-09-27
AR,2005,0.25,A,2005-02-15
ID,2005,0.25,A,2005-08-28
NM,2005,0.25,A,2005-09-05
NM,2005,0.25,A,2005-10-11
AZ,2005,0.25,A,2005-07-17
MO,2005,96.0,C,2005-04-02
AZ,2005,0.25,A,2005-07-17
MO,2005,0.25,A,2005-04-03
CO,2005,0.25,A,2005-07-16
AR,2005,9.0,B,2005-10-18
MO,2005,0.25,A,2005-06-15
WY,2005,0.25,A,2005-08-16
CO,2005,0.25,A,2005-07-20
CA,2005,0.25,A,2005-09-04
CO,2005,0.25,A,2005-08-03
CO,2005,0.25,A,2005-08-08
MT,2005,0.25,A,2005-08-22
NM,2005,0.25,A,2005-10-09
KY,2005,0.25,A,2005-04-09
CA,2005,0.25,A,2005-09-26
ID,2005,0.25,A,2005-07-31
ID,2005,0.25,A,2005-07-31
KY,2005,0.25,A,2005-04-10
ID,2005,0.25,A,2005-08-06
OR,2005,0.25,A,2005-10-18
AZ,2005,0.25,A,2005-07-18
AZ,2005,0.25,A,2005-07-19
AZ,2005,0.25,A,2005-07-20
MO,2005,8.4,B,2005-03-01
AZ,2005,8.6,B,2005-06-22
CA,2005,0.25,A,2005-08-21
MT,2005,0.25,A,2005-06-25
MO,2005,95.9,C,2005-03-14
MT,2005,0.25,A,2005-08-31
MO,2005,0.25,A,2005-04-02
MT,2005,0.25,A,2005-09-04
ID,2005,0.25,A,2005-09-09
ID,2005,0.25,A,2005-09-22
VA,2005,293.0,D,2005-03-19
MT,2005,0.25,A,2005-07-31
MT,2005,0.25,A,2005-08-03
NM,2005,0.25,A,2005-06-05
MT,2005,0.25,A,2005-08-06
OR,2005,0.25,A,2005-08-02
OR,2005,0.25,A,2005-10-14
MT,2005,0.25,A,2005-08-07
MT,2005,0.25,A,2005-08-09
MT,2005,0.25,A,2005-07-06
MT,2005,0.25,A,2005-07-17
CA,2005,0.25,A,2005-09-09
CA,2005,0.25,A,2005-09-07
WY,2005,0.25,A,2005-06-29
MO,2005,0.25,A,2005-10-23
ID,2005,99.0,C,2005-08-04
ID,2005,0.25,A,2005-08-17
ID,2005,0.25,A,2005-08-13
OR,2005,0.25,A,2005-10-27
ID,2005,0.25,A,2005-08-28
IL,2005,0.25,A,2005-03-17
WY,2005,0.25,A,2005-07-15
ID,2005,0.25,A,2005-09-21
WY,2005,0.25,A,2005-07-16
ID,2005,0.25,A,2005-10-23
MT,2005,9.2,B,2005-07-22
MT,2005,0.25,A,2005-06-14
CA,2005,0.25,A,2005-07-02
CA,2005,0.25,A,2005-06-03
CA,2005,0.25,A,2005-07-11
CA,2005,0.25,A,2005-07-29
AR,2005,0.25,A,2005-09-29
CA,2005,0.25,A,2005-07-29
AR,2005,0.25,A,2005-11-04
UT,2005,0.25,A,2005-10-18
NM,2005,0.25,A,2005-06-25
CA,2005,0.25,A,2005-07-30
CA,2005,0.25,A,2005-08-09
MT,2005,0.25,A,2005-07-25
ID,2005,0.25,A,2005-08-03
MT,2005,0.25,A,2005-08-04
OR,2005,0.25,A,2005-10-18
ID,2005,0.25,A,2005-08-12
CA,2005,0.25,A,2005-08-07
CA,2005,0.25,A,2005-10-30
ID,2005,0.25,A,2005-10-24
WY,2005,0.25,A,2005-09-09
CA,2005,0.25,A,2005-08-16
WY,2005,0.25,A,2005-09-19
CA,2005,0.25,A,2005-09-04
CA,2005,0.25,A,2005-10-14
OR,2005,0.25,A,2005-08-01
OR,2005,0.25,A,2005-08-22
MT,2005,0.25,A,2005-11-12
ID,2005,0.25,A,2005-06-23
CO,2005,0.25,A,2005-07-28
CO,2005,0.25,A,2005-08-01
MT,2005,0.25,A,2005-06-21
CA,2005,0.25,A,2005-09-13
NC,2005,0.25,A,2005-10-31
NM,2005,9.6,B,2005-07-04
SD,2005,0.25,A,2005-09-10
MT,2005,0.25,A,2005-08-29
KY,2005,0.25,A,2005-11-07
MT,2005,0.25,A,2005-09-18
AZ,2005,0.25,A,2005-06-06
ID,2005,0.25,A,2005-08-03
ID,2005,0.25,A,2005-08-09
AZ,2005,0.25,A,2005-07-14
CA,2005,0.25,A,2005-09-26
UT,2005,0.25,A,2005-06-24
NC,2005,0.25,A,2005-11-12
ID,2005,0.25,A,2005-08-21
CA,2005,0.25,A,2005-07-23
CA,2005,0.25,A,2005-09-18
CA,2005,0.25,A,2005-08-19
NM,2005,0.25,A,2005-07-13
NM,2005,0.25,A,2005-07-13
CA,2005,0.25,A,2005-09-16
CA,2005,0.25,A,2005-08-23
ID,2005,0.25,A,2005-08-02
ID,2005,0.25,A,2005-08-14
ID,2005,0.25,A,2005-08-08
CA,2005,0.25,A,2005-10-11
ID,2005,0.25,A,2005-08-12
NM,2005,0.25,A,2005-07-17
NM,2005,0.25,A,2005-07-17
NM,2005,0.25,A,2005-07-19
ID,2005,9.5,B,2005-08-07
NM,2005,9.0,B,2005-07-17
ID,2005,0.25,A,2005-10-19
AZ,2005,0.25,A,2005-09-01
ID,2005,0.25,A,2005-10-20
CO,2005,0.25,A,2005-07-16
ID,2005,0.25,A,2005-10-22
AZ,2005,0.25,A,2005-06-11
ID,2005,0.25,A,2005-10-21
NM,2005,0.25,A,2005-11-08
ID,2005,0.25,A,2005-07-17
AZ,2005,0.25,A,2005-08-09
AZ,2005,0.25,A,2005-07-08
AZ,2005,0.25,A,2005-07-24
IL,2005,9.0,B,2005-11-22
GA,2005,0.25,A,2005-02-11
CA,2005,0.25,A,2005-09-14
AZ,2005,0.25,A,2005-03-08
NM,2005,0.25,A,2005-07-23
