STATE,FIRE_SIZE,FIRE_SIZE_CLASS,DISCOVERY_DATE
GA,9.68,B,2006/3/5
GA,9.87,B,2006/2/8
GA,0.25,A,2006/5/28
GA,0.25,A,2006/1/17
GA,0.25,A,2006/4/5
GA,9.94,B,2006/7/28
GA,9.88,B,2006/3/3
GA,0.25,A,2006/3/17
GA,0.25,A,2006/8/22
GA,0.25,A,2006/10/8
GA,0.25,A,2006/10/21
GA,0.25,A,2006/3/9
GA,0.25,A,2006/4/11
GA,0.25,A,2006/6/12
GA,9.73,B,2006/4/13
GA,0.25,A,2006/5/29
GA,9.66,B,2006/6/19
GA,0.25,A,2006/11/25
GA,0.25,A,2006/1/14
GA,0.25,A,2006/2/10
GA,0.25,A,2006/2/13
GA,0.25,A,2006/11/16
GA,0.25,A,2006/2/15
GA,0.25,A,2006/7/4
GA,0.25,A,2006/10/3
GA,0.25,A,2006/11/5
GA,0.25,A,2006/3/9
GA,0.25,A,2006/3/9
GA,0.25,A,2006/5/30
GA,0.25,A,2006/11/27
GA,0.25,A,2006/12/11
GA,0.25,A,2006/3/18
GA,0.25,A,2006/6/30
GA,0.25,A,2006/8/15
GA,0.25,A,2006/2/15
GA,0.25,A,2006/11/21
GA,0.25,A,2006/3/29
GA,0.25,A,2006/6/15
GA,0.25,A,2006/8/19
GA,0.25,A,2006/12/7
GA,0.25,A,2006/11/10
GA,0.25,A,2006/2/27
GA,0.25,A,2006/3/4
GA,0.25,A,2006/3/5
GA,0.25,A,2006/7/4
GA,0.25,A,2006/7/8
GA,0.25,A,2006/10/30
GA,0.25,A,2006/12/20
GA,0.25,A,2006/3/9
GA,0.25,A,2006/3/9
GA,0.25,A,2006/6/9
GA,0.25,A,2006/8/17
GA,9.96,B,2006/12/11
GA,0.25,A,2006/3/30
GA,9.96,B,2006/4/6
GA,0.25,A,2006/6/21
GA,0.25,A,2006/4/1
GA,0.25,A,2006/9/15
GA,0.25,A,2006/10/5
GA,0.25,A,2006/10/8
GA,0.25,A,2006/4/30
GA,0.25,A,2006/3/5
GA,0.25,A,2006/11/29
GA,9.75,B,2006/9/9
GA,0.25,A,2006/2/9
GA,9.9,B,2006/4/3
GA,0.25,A,2006/9/15
GA,0.25,A,2006/11/22
GA,0.25,A,2006/11/23
GA,0.25,A,2006/3/9
GA,0.25,A,2006/6/19
GA,0.25,A,2006/8/9
GA,0.25,A,2006/3/3
GA,0.25,A,2006/3/18
GA,9.77,B,2006/3/30
GA,0.25,A,2006/4/5
GA,0.25,A,2006/3/5
GA,0.25,A,2006/2/15
GA,0.25,A,2006/3/8
GA,0.25,A,2006/11/5
GA,0.25,A,2006/3/19
GA,9.81,B,2006/1/14
GA,0.25,A,2006/9/26
GA,0.25,A,2006/1/28
GA,0.25,A,2006/11/26
GA,0.25,A,2006/3/28
GA,0.25,A,2006/11/20
GA,0.25,A,2006/12/6
GA,0.25,A,2006/9/13
GA,9.9,B,2006/1/17
GA,0.25,A,2006/12/17
GA,9.87,B,2006/5/26
GA,0.25,A,2006/3/18
GA,9.92,B,2006/6/23
GA,9.96,B,2006/11/6
GA,0.25,A,2006/7/24
GA,0.25,A,2006/10/6
GA,0.25,A,2006/7/28
GA,0.25,A,2006/2/24
GA,0.25,A,2006/3/22
GA,0.25,A,2006/8/18
GA,9.56,B,2006/3/5
GA,9.5,B,2006/3/7
GA,0.25,A,2006/12/12
GA,0.25,A,2006/12/19
GA,0.25,A,2006/4/20
GA,9.82,B,2006/5/27
GA,9.53,B,2006/10/7
GA,0.25,A,2006/4/23
GA,9.5,B,2006/4/23
GA,0.25,A,2006/7/29
GA,0.25,A,2006/3/7
GA,0.25,A,2006/11/29
GA,0.25,A,2006/4/10
GA,0.25,A,2006/5/3
GA,0.25,A,2006/6/2
GA,0.25,A,2006/8/23
GA,9.7,B,2006/1/21
GA,0.25,A,2006/7/24
GA,0.25,A,2006/5/19
GA,0.25,A,2006/1/17
GA,0.25,A,2006/3/19
GA,0.25,A,2006/3/29
GA,0.25,A,2006/5/30
GA,0.25,A,2006/9/11
GA,9.94,B,2006/7/12
GA,9.5,B,2006/2/10
GA,0.25,A,2006/7/20
GA,0.25,A,2006/2/17
GA,0.25,A,2006/3/5
GA,0.25,A,2006/8/18
GA,0.25,A,2006/9/19
GA,0.25,A,2006/9/28
GA,0.25,A,2006/11/2
GA,9.5,B,2006/7/29
GA,0.25,A,2006/6/2
GA,0.25,A,2007/8/7
GA,0.25,A,2007/3/14
GA,0.25,A,2007/2/28
GA,9.62,B,2007/2/11
GA,0.25,A,2007/3/14
GA,0.25,A,2007/5/8
GA,0.25,A,2007/7/22
GA,0.25,A,2007/6/1
GA,9.79,B,2007/3/7
GA,0.25,A,2007/8/16
GA,0.25,A,2007/10/5
GA,0.25,A,2007/12/1
GA,0.25,A,2007/2/5
GA,0.25,A,2007/2/28
GA,9.96,B,2007/3/7
GA,0.25,A,2007/12/20
GA,9.95,B,2007/3/2
GA,0.25,A,2007/9/4
GA,0.25,A,2007/9/9
GA,0.25,A,2007/2/19
GA,0.25,A,2007/3/8
GA,0.25,A,2007/10/1
GA,0.25,A,2007/10/23
GA,0.25,A,2007/2/6
GA,0.25,A,2007/9/19
GA,0.25,A,2007/3/8
GA,0.25,A,2007/3/19
GA,0.25,A,2007/3/19
GA,0.25,A,2007/5/6
GA,0.25,A,2007/10/11
GA,9.97,B,2007/7/9
GA,0.25,A,2007/9/30
GA,0.25,A,2007/8/18
GA,0.25,A,2007/6/8
GA,0.25,A,2007/6/28
GA,0.25,A,2007/5/14
GA,0.25,A,2007/1/30
GA,0.25,A,2007/2/6
GA,0.25,A,2007/2/23
GA,0.25,A,2007/3/10
GA,0.25,A,2007/3/24
GA,0.25,A,2007/4/21
GA,0.25,A,2007/2/28
GA,9.9,B,2007/11/10
GA,0.25,A,2007/11/17
GA,0.25,A,2007/6/29
GA,0.25,A,2007/11/3
GA,0.25,A,2007/5/21
GA,0.25,A,2007/2/24
GA,9.78,B,2007/2/28
GA,0.25,A,2007/4/6
GA,9.9,B,2007/2/23
GA,9.94,B,2007/2/23
GA,9.62,B,2007/4/6
GA,0.25,A,2007/8/25
GA,0.25,A,2007/4/26
GA,0.25,A,2007/4/29
GA,0.25,A,2007/5/12
GA,0.25,A,2007/5/25
GA,0.25,A,2007/8/25
GA,0.25,A,2007/3/28
GA,0.25,A,2007/4/23
GA,9.6,B,2007/7/5
GA,0.25,A,2007/9/26
GA,0.25,A,2007/10/27
GA,0.25,A,2007/3/25
GA,0.25,A,2007/5/8
GA,0.25,A,2007/11/11
GA,0.25,A,2007/3/20
GA,0.25,A,2007/6/19
GA,0.25,A,2007/6/29
GA,0.25,A,2007/3/20
GA,0.25,A,2007/3/21
GA,9.74,B,2007/5/19
GA,9.6,B,2007/11/14
GA,0.25,A,2007/8/24
GA,0.25,A,2007/12/10
GA,9.6,B,2007/3/30
GA,0.25,A,2007/7/23
GA,0.25,A,2007/5/1
GA,0.25,A,2007/3/20
GA,0.25,A,2007/8/11
GA,9.73,B,2007/3/29
GA,0.25,A,2007/6/25
GA,0.25,A,2007/7/25
GA,0.25,A,2007/8/21
GA,0.25,A,2007/6/18
GA,0.25,A,2007/4/22
GA,0.25,A,2007/7/1
GA,0.25,A,2007/7/1
GA,0.25,A,2007/8/5
GA,0.25,A,2007/3/26
GA,0.25,A,2007/4/19
GA,0.25,A,2007/4/23
GA,0.25,A,2007/4/26
GA,0.25,A,2007/5/1
GA,0.25,A,2007/6/1
GA,0.25,A,2007/6/4
GA,0.25,A,2007/6/6
GA,0.25,A,2007/6/7
GA,0.25,A,2007/6/24
GA,0.25,A,2007/11/24
GA,0.25,A,2007/5/7
GA,0.25,A,2007/11/14
GA,0.25,A,2007/3/13
GA,0.25,A,2007/6/3
GA,9.97,B,2007/7/1
GA,0.25,A,2007/10/2
GA,0.25,A,2007/12/10
GA,9.73,B,2007/3/21
GA,0.25,A,2007/3/22
GA,0.25,A,2007/3/28
GA,0.25,A,2007/2/28
GA,0.25,A,2007/6/23
GA,0.25,A,2007/6/25
GA,0.25,A,2007/8/20
GA,0.25,A,2007/11/10
GA,0.25,A,2007/3/24
GA,0.25,A,2007/5/25
GA,0.25,A,2007/7/1
GA,0.25,A,2007/8/16
GA,0.25,A,2007/10/17
GA,0.25,A,2007/4/30
GA,0.25,A,2007/7/23
GA,0.25,A,2007/2/15
GA,0.25,A,2007/3/14
GA,0.25,A,2007/3/14
GA,0.25,A,2007/4/13
GA,0.25,A,2007/5/19
GA,0.25,A,2007/6/5
GA,0.25,A,2007/6/21
GA,0.25,A,2007/2/19
GA,9.99,B,2007/2/24
GA,0.25,A,2007/5/21
GA,9.88,B,2007/6/24
GA,0.25,A,2007/2/19
GA,0.25,A,2007/4/10
GA,9.84,B,2007/6/14
GA,0.25,A,2007/3/24
GA,0.25,A,2007/4/19
GA,0.25,A,2007/5/18
GA,0.25,A,2007/5/29
GA,0.25,A,2007/10/23
GA,0.25,A,2007/10/23
GA,0.25,A,2007/1/31
GA,0.25,A,2007/1/31
GA,0.25,A,2007/2/16
GA,0.25,A,2007/3/7
GA,9.7,B,2007/4/29
GA,0.25,A,2007/5/7
GA,0.25,A,2007/4/30
GA,9.6,B,2007/5/19
GA,0.25,A,2007/9/24
GA,0.25,A,2007/1/15
GA,0.25,A,2007/3/31
GA,0.25,A,2007/5/1
GA,0.25,A,2007/5/11
GA,0.25,A,2007/8/1
GA,0.25,A,2007/8/4
GA,0.25,A,2007/9/4
GA,0.25,A,2007/2/4
GA,0.25,A,2007/2/6
GA,0.25,A,2007/3/17
GA,0.25,A,2007/3/18
GA,0.25,A,2007/6/4
GA,0.25,A,2007/6/22
GA,0.25,A,2007/10/6
GA,0.25,A,2007/6/14
GA,0.25,A,2007/6/14
GA,0.25,A,2007/3/21
GA,0.25,A,2007/3/10
GA,0.25,A,2007/4/21
GA,0.25,A,2007/3/17
GA,0.25,A,2007/12/7
GA,0.25,A,2007/3/12
GA,0.25,A,2007/10/1
GA,0.25,A,2007/2/12
GA,0.25,A,2007/4/16
GA,0.25,A,2007/10/12
GA,9.88,B,2007/2/24
GA,0.25,A,2007/3/4
GA,0.25,A,2007/3/22
GA,9.7,B,2007/4/12
GA,0.25,A,2007/4/12
GA,9.8,B,2007/12/6
GA,0.25,A,2007/10/1
GA,0.25,A,2007/2/24
GA,0.25,A,2007/5/20
GA,0.25,A,2007/4/8
GA,0.25,A,2007/4/21
GA,0.25,A,2007/5/8
GA,0.25,A,2007/4/18
GA,0.25,A,2007/8/1
GA,9.74,B,2007/4/7
GA,0.25,A,2007/4/10
GA,0.25,A,2007/7/1
GA,0.25,A,2007/7/1
GA,9.6,B,2007/7/19
GA,0.25,A,2007/2/19
GA,0.25,A,2007/8/20
GA,0.25,A,2007/1/29
GA,9.85,B,2007/2/28
GA,0.25,A,2007/5/30
GA,0.25,A,2007/5/7
GA,0.25,A,2007/2/17
GA,0.25,A,2007/2/19
GA,0.25,A,2007/3/8
GA,9.6,B,2007/2/20
GA,9.8,B,2007/3/19
GA,0.25,A,2007/4/4
GA,0.25,A,2007/4/14
GA,0.25,A,2008/3/14
GA,0.25,A,2008/3/23
GA,0.25,A,2008/3/26
GA,0.25,A,2008/2/11
GA,0.25,A,2008/6/10
GA,0.25,A,2008/6/18
GA,0.25,A,2008/6/19
GA,0.25,A,2008/2/11
GA,0.25,A,2008/3/23
GA,0.25,A,2008/12/20
GA,0.25,A,2008/2/20
GA,0.25,A,2008/6/8
GA,0.25,A,2008/10/1
GA,9.66,B,2008/6/21
GA,9.9,B,2008/3/3
GA,0.25,A,2008/5/29
GA,0.25,A,2008/4/26
GA,0.25,A,2008/11/24
GA,0.25,A,2008/3/27
GA,0.25,A,2008/10/3
GA,0.25,A,2008/10/22
GA,0.25,A,2008/11/7
GA,0.25,A,2008/2/16
GA,9.7,B,2008/6/19
GA,0.25,A,2008/4/23
GA,0.25,A,2008/6/8
GA,0.25,A,2008/11/27
GA,0.25,A,2008/7/23
GA,0.25,A,2008/8/22
GA,9.54,B,2008/3/27
GA,0.25,A,2008/6/12
GA,9.83,B,2008/6/27
GA,0.25,A,2008/8/8
GA,0.25,A,2008/8/10
GA,0.25,A,2008/11/4
GA,0.25,A,2008/11/11
GA,0.25,A,2008/3/27
GA,0.25,A,2008/9/25
GA,0.25,A,2008/10/1
GA,0.25,A,2008/10/3
GA,0.25,A,2008/2/16
GA,0.25,A,2008/6/8
GA,0.25,A,2008/9/26
GA,0.25,A,2008/7/2
GA,0.25,A,2008/9/8
GA,0.25,A,2008/11/6
GA,0.25,A,2008/2/13
GA,9.6,B,2008/3/10
GA,0.25,A,2008/4/13
GA,0.25,A,2008/7/3
GA,0.25,A,2008/11/23
GA,0.25,A,2008/1/1
GA,0.25,A,2008/2/29
GA,0.25,A,2008/6/16
GA,0.25,A,2008/7/17
GA,0.25,A,2008/8/6
GA,0.25,A,2008/9/29
GA,0.25,A,2008/2/27
GA,0.25,A,2008/8/11
GA,0.25,A,2008/1/8
GA,9.6,B,2008/6/26
GA,0.25,A,2008/3/13
GA,0.25,A,2008/9/9
GA,0.25,A,2008/3/15
GA,0.25,A,2008/6/10
GA,0.25,A,2008/3/26
GA,0.25,A,2008/6/24
GA,0.25,A,2008/2/27
GA,0.25,A,2008/2/12
GA,9.86,B,2008/2/15
GA,9.77,B,2008/3/21
GA,0.25,A,2008/6/22
GA,0.25,A,2008/9/19
GA,0.25,A,2008/2/11
GA,0.25,A,2008/2/10
GA,0.25,A,2008/12/7
GA,0.25,A,2008/4/20
GA,0.25,A,2008/3/17
GA,0.25,A,2008/4/29
GA,0.25,A,2008/10/4
GA,0.25,A,2008/2/19
GA,0.25,A,2008/3/6
GA,0.25,A,2008/3/13
GA,0.25,A,2008/3/1
GA,0.25,A,2008/6/23
GA,0.25,A,2008/6/9
GA,0.25,A,2008/8/8
GA,0.25,A,2008/9/29
GA,0.25,A,2008/10/4
GA,0.25,A,2008/1/29
GA,0.25,A,2008/3/25
GA,0.25,A,2008/8/10
GA,0.25,A,2008/10/23
GA,0.25,A,2008/11/5
GA,0.25,A,2008/11/12
GA,0.25,A,2008/3/27
GA,0.25,A,2008/11/23
GA,0.25,A,2008/10/13
GA,0.25,A,2008/4/13
GA,0.25,A,2008/4/13
GA,0.25,A,2008/6/29
GA,0.25,A,2008/5/11
GA,0.25,A,2008/3/21
GA,9.75,B,2008/7/5
GA,0.25,A,2008/7/3
GA,0.25,A,2008/7/17
GA,0.25,A,2008/9/25
GA,0.25,A,2008/5/24
GA,0.25,A,2008/7/3
GA,9.72,B,2008/2/15
GA,0.25,A,2008/3/12
GA,0.25,A,2008/11/20
GA,0.25,A,2008/2/6
GA,0.25,A,2008/2/14
GA,0.25,A,2008/3/6
GA,0.25,A,2008/6/27
GA,0.25,A,2008/9/25
GA,0.25,A,2008/6/14
GA,9.62,B,2008/6/24
GA,0.25,A,2008/8/30
GA,0.25,A,2008/10/5
GA,0.25,A,2008/3/2
GA,0.25,A,2008/3/2
GA,0.25,A,2008/3/2
GA,0.25,A,2008/4/2
GA,0.25,A,2008/11/6
GA,0.25,A,2008/11/2
GA,0.25,A,2008/11/7
GA,9.93,B,2008/6/17
GA,0.25,A,2008/2/12
GA,0.25,A,2008/8/6
GA,0.25,A,2008/11/12
GA,9.8,B,2008/7/12
GA,0.25,A,2008/7/25
GA,9.88,B,2008/6/9
GA,9.92,B,2008/6/19
GA,0.25,A,2008/4/18
GA,0.25,A,2008/5/10
GA,0.25,A,2008/5/27
GA,0.25,A,2008/1/31
GA,0.25,A,2008/6/21
GA,0.25,A,2008/9/24
GA,0.25,A,2008/2/19
GA,0.25,A,2008/3/30
GA,0.25,A,2008/4/14
GA,0.25,A,2008/9/27
GA,0.25,A,2009/2/5
GA,9.54,B,2009/2/24
GA,0.25,A,2009/6/15
GA,0.25,A,2009/2/6
GA,9.6,B,2009/1/23
GA,0.25,A,2009/6/27
GA,0.25,A,2009/7/2
GA,0.25,A,2009/2/7
GA,0.25,A,2009/1/9
GA,0.25,A,2009/1/27
GA,0.25,A,2009/3/21
GA,0.25,A,2009/4/21
GA,9.77,B,2009/6/30
GA,0.25,A,2009/2/7
GA,0.25,A,2009/2/7
GA,0.25,A,2009/3/8
GA,0.25,A,2009/3/8
GA,0.25,A,2009/2/23
GA,0.25,A,2009/7/3
GA,0.25,A,2009/2/7
GA,0.25,A,2009/2/11
GA,0.25,A,2009/3/19
GA,0.25,A,2009/2/6
GA,0.25,A,2009/6/26
GA,0.25,A,2009/8/2
GA,0.25,A,2009/3/7
GA,0.25,A,2009/4/29
GA,0.25,A,2009/7/2
GA,0.25,A,2009/3/3
GA,0.25,A,2009/3/5
GA,0.25,A,2009/3/20
GA,9.61,B,2009/2/10
GA,0.25,A,2009/12/30
GA,0.25,A,2009/2/11
GA,0.25,A,2009/3/12
GA,0.25,A,2009/3/11
GA,0.25,A,2009/5/6
GA,9.8,B,2009/2/24
GA,0.25,A,2009/4/12
GA,0.25,A,2009/4/12
GA,0.25,A,2009/2/10
GA,0.25,A,2009/9/7
GA,0.25,A,2009/7/28
GA,0.25,A,2009/2/21
GA,0.25,A,2009/11/16
GA,0.25,A,2009/2/10
GA,0.25,A,2009/2/12
GA,0.25,A,2009/2/13
GA,0.25,A,2009/3/10
GA,0.25,A,2009/3/12
GA,0.25,A,2009/2/5
GA,9.7,B,2009/12/1
GA,0.25,A,2009/6/30
GA,0.25,A,2009/2/10
GA,0.25,A,2009/4/27
GA,9.8,B,2009/3/10
GA,0.25,A,2009/2/7
GA,0.25,A,2009/6/27
GA,0.25,A,2009/6/24
GA,0.25,A,2009/1/29
GA,0.25,A,2009/1/23
GA,0.25,A,2009/2/21
GA,0.25,A,2009/3/6
GA,0.25,A,2009/9/26
GA,0.25,A,2009/8/25
GA,0.25,A,2009/1/21
GA,0.25,A,2009/3/17
GA,0.25,A,2009/1/15
GA,0.25,A,2009/1/15
GA,9.5,B,2009/2/7
GA,0.25,A,2009/4/16
GA,0.25,A,2009/3/4
GA,0.25,A,2009/3/9
GA,9.95,B,2009/3/4
GA,0.25,A,2009/10/19
GA,0.25,A,2009/11/28
GA,0.25,A,2009/7/19
GA,0.25,A,2009/6/18
GA,0.25,A,2009/6/20
GA,9.86,B,2009/11/16
GA,0.25,A,2009/2/21
GA,0.25,A,2009/3/5
GA,9.6,B,2009/4/18
GA,0.25,A,2009/7/5
GA,0.25,A,2009/10/3
GA,0.25,A,2009/5/31
GA,9.83,B,2009/1/8
GA,0.25,A,2009/1/8
GA,0.25,A,2009/2/23
GA,9.93,B,2009/2/11
GA,0.25,A,2009/3/22
GA,0.25,A,2009/2/10
GA,9.7,B,2009/1/6
GA,0.25,A,2009/1/30
GA,0.25,A,2009/10/2
GA,0.25,A,2009/1/21
GA,0.25,A,2009/3/12
GA,0.25,A,2009/2/16
GA,0.25,A,2009/3/22
GA,9.69,B,2009/2/10
GA,0.25,A,2009/2/28
GA,9.5,B,2009/7/15
GA,0.25,A,2009/11/19
GA,0.25,A,2009/7/1
GA,0.25,A,2009/11/19
GA,9.65,B,2009/3/12
GA,0.25,A,2009/9/8
GA,0.25,A,2009/11/5
GA,0.25,A,2009/2/11
GA,9.6,B,2009/5/13
ID,0.25,A,2001/8/13
ID,0.25,A,2001/8/13
ID,0.25,A,2001/8/13
ID,0.25,A,2001/9/16
ID,0.25,A,2001/9/16
ID,0.25,A,2001/9/16
ID,0.25,A,2001/9/16
ID,0.25,A,2001/9/16
ID,0.25,A,2003/8/7
ID,0.25,A,1999/8/2
ID,0.25,A,2000/8/10
ID,0.25,A,2002/4/1
ID,0.25,A,2002/4/3
ID,0.25,A,1999/6/19
ID,0.25,A,1999/8/3
ID,0.25,A,1999/8/3
ID,0.25,A,1999/8/18
ID,0.25,A,1999/9/20
ID,0.25,A,1999/9/26
ID,0.25,A,2000/7/22
ID,0.25,A,2000/8/4
ID,0.25,A,2000/8/6
ID,0.25,A,2000/8/15
ID,0.25,A,2000/8/20
ID,0.25,A,2000/9/25
ID,0.25,A,2001/6/21
ID,0.25,A,2001/9/19
ID,0.25,A,2002/9/15
ID,0.25,A,2003/5/30
ID,0.25,A,2003/9/2
ID,0.25,A,2004/3/23
ID,0.25,A,2004/6/27
ID,0.25,A,2004/8/1
ID,0.25,A,2004/8/9
ID,0.25,A,1999/7/27
ID,0.25,A,1999/7/31
ID,0.25,A,1999/7/29
ID,0.25,A,1999/8/3
ID,0.25,A,1999/8/3
ID,0.25,A,1999/9/5
ID,0.25,A,2000/6/28
ID,0.25,A,2000/8/10
ID,0.25,A,2001/8/3
ID,0.25,A,2001/9/17
ID,0.25,A,2002/5/10
ID,0.25,A,2002/8/18
ID,0.25,A,2002/8/19
ID,0.25,A,2002/8/24
ID,0.25,A,2002/8/30
ID,0.25,A,2002/8/29
ID,0.25,A,2002/9/1
ID,0.25,A,2003/7/6
ID,0.25,A,2004/4/29
ID,0.25,A,2003/8/5
ID,0.25,A,1999/6/15
ID,0.25,A,1999/8/15
ID,0.25,A,1999/8/21
ID,0.25,A,1999/8/21
ID,0.25,A,1999/10/1
ID,0.25,A,2000/8/24
ID,0.25,A,2000/8/29
ID,0.25,A,2001/5/26
ID,0.25,A,2001/7/14
ID,0.25,A,2001/8/11
ID,0.25,A,2001/9/9
ID,0.25,A,2002/9/23
ID,0.25,A,2003/7/15
ID,0.25,A,2003/7/16
ID,0.25,A,2003/8/6
ID,0.25,A,2003/8/26
ID,0.25,A,2003/8/27
ID,0.25,A,2003/8/28
ID,0.25,A,2003/10/20
ID,0.25,A,2003/10/22
ID,0.25,A,2003/10/21
ID,0.25,A,2004/7/18
ID,0.25,A,2004/7/19
ID,0.25,A,2004/7/23
ID,0.25,A,2004/7/29
ID,0.25,A,2004/7/29
ID,0.25,A,2004/8/4
ID,0.25,A,2004/8/11
ID,0.25,A,2004/9/3
ID,0.25,A,1999/8/18
ID,0.25,A,2000/7/7
ID,0.25,A,2003/7/14
ID,0.25,A,2004/4/27
ID,0.25,A,2004/8/12
ID,0.25,A,2004/6/30
ID,0.25,A,2004/7/18
ID,0.25,A,2000/8/10
ID,0.25,A,2000/8/10
ID,0.25,A,2000/8/24
ID,0.25,A,2004/8/2
ID,0.25,A,1999/7/26
ID,0.25,A,2000/7/6
ID,0.25,A,2000/7/18
ID,0.25,A,2000/8/10
ID,0.25,A,2000/9/26
ID,0.25,A,2001/6/8
ID,0.25,A,2001/6/13
ID,0.25,A,2001/10/4
ID,0.25,A,2002/7/25
ID,0.25,A,2002/10/5
ID,0.25,A,2003/8/15
ID,9.8,B,1994/9/2
ID,0.25,A,1999/6/30
ID,0.25,A,1999/10/9
ID,0.25,A,1999/10/6
ID,0.25,A,2000/7/5
ID,0.25,A,2000/8/4
ID,0.25,A,2000/8/4
ID,0.25,A,2000/8/24
ID,0.25,A,2001/7/7
ID,0.25,A,2001/7/11
ID,0.25,A,2001/9/12
ID,0.25,A,2001/9/16
ID,0.25,A,2001/10/18
ID,0.25,A,2002/6/15
ID,0.25,A,2002/6/27
ID,0.25,A,2003/6/23
ID,0.25,A,2003/6/29
ID,0.25,A,2003/6/29
ID,0.25,A,2003/10/7
ID,0.25,A,2004/8/16
ID,0.25,A,1999/6/24
ID,0.25,A,1999/6/18
ID,0.25,A,1999/7/20
ID,0.25,A,1999/7/20
ID,0.25,A,1999/7/20
ID,0.25,A,1999/7/21
ID,0.25,A,1999/7/23
ID,0.25,A,1999/7/24
ID,0.25,A,1999/8/24
ID,0.25,A,1999/8/24
ID,0.25,A,2000/6/4
ID,0.25,A,2000/7/25
ID,0.25,A,2001/6/1
ID,0.25,A,2001/8/12
ID,0.25,A,2001/8/12
ID,0.25,A,2001/9/16
ID,0.25,A,2001/9/16
ID,0.25,A,2001/9/16
ID,0.25,A,2002/7/13
ID,0.25,A,2002/8/8
ID,0.25,A,2002/8/15
ID,0.25,A,2002/9/5
ID,0.25,A,2002/10/20
ID,0.25,A,2003/7/4
ID,0.25,A,2003/8/1
ID,0.25,A,2003/8/19
ID,0.25,A,2003/8/19
ID,0.25,A,2003/8/18
ID,0.25,A,2004/8/1
ID,0.25,A,2004/8/19
ID,0.25,A,2005/4/20
ID,0.25,A,2006/7/15
ID,0.25,A,2006/4/24
ID,0.25,A,2006/7/16
ID,0.25,A,2006/7/28
ID,0.25,A,2006/7/27
ID,0.25,A,2006/8/10
ID,0.25,A,2006/8/10
ID,0.25,A,2006/8/16
ID,0.25,A,2006/7/4
ID,0.25,A,2006/7/5
ID,0.25,A,2006/7/12
ID,0.25,A,2006/7/4
ID,0.25,A,2006/7/18
ID,0.25,A,2006/4/15
ID,0.25,A,2006/8/30
ID,0.25,A,2006/6/17
ID,0.25,A,2006/8/10
ID,0.25,A,2006/8/10
ID,0.25,A,2006/8/10
ID,0.25,A,2006/8/10
ID,0.25,A,2006/8/28
ID,0.25,A,2006/8/3
ID,0.25,A,2006/8/10
ID,0.25,A,2006/8/11
ID,0.25,A,2006/8/11
ID,0.25,A,2006/10/4
ID,0.25,A,2006/10/26
ID,0.25,A,2006/8/9
ID,0.25,A,2006/8/1
ID,0.25,A,2006/9/7
ID,0.25,A,2006/8/16
ID,0.25,A,2006/9/5
ID,0.25,A,2006/9/7
ID,0.25,A,2006/8/9
ID,0.25,A,2006/8/10
ID,0.25,A,2006/8/16
ID,0.25,A,2006/8/16
ID,0.25,A,2006/8/16
ID,0.25,A,2006/8/16
ID,0.25,A,2006/8/16
ID,0.25,A,2006/8/17
ID,0.25,A,2006/8/16
ID,0.25,A,2006/8/17
ID,0.25,A,2006/8/16
ID,0.25,A,2006/8/16
ID,0.25,A,2006/8/16
ID,0.25,A,2006/8/16
ID,0.25,A,2006/8/29
ID,0.25,A,2006/8/29
ID,0.25,A,2006/8/29
ID,0.25,A,2006/8/29
ID,0.25,A,2006/8/29
ID,0.25,A,2006/10/1
ID,0.25,A,2007/8/7
ID,0.25,A,2007/7/23
ID,0.25,A,2007/7/9
ID,0.25,A,2007/7/10
ID,0.25,A,2007/7/11
ID,0.25,A,2007/4/23
ID,0.25,A,2007/4/30
ID,0.25,A,2007/5/17
ID,0.25,A,2007/7/19
ID,0.25,A,2007/8/8
ID,0.25,A,2007/8/3
ID,0.25,A,2007/8/31
ID,0.25,A,2007/6/4
ID,0.25,A,2007/9/12
ID,0.25,A,2007/6/29
ID,0.25,A,2007/7/3
ID,0.25,A,2007/8/10
ID,0.25,A,2007/7/8
ID,0.25,A,2007/8/31
ID,0.25,A,2007/7/13
ID,0.25,A,2007/7/17
ID,0.25,A,2007/7/17
ID,0.25,A,2007/7/18
ID,0.25,A,2007/8/6
ID,0.25,A,2007/8/10
ID,0.25,A,2007/10/10
ID,0.25,A,2008/8/8
ID,0.25,A,2008/9/7
ID,0.25,A,2008/5/8
ID,0.25,A,2008/6/17
ID,0.25,A,2008/7/10
ID,0.25,A,2008/10/6
ID,0.25,A,2008/10/6
ID,0.25,A,2008/8/9
ID,0.25,A,2008/6/30
ID,0.25,A,2008/8/8
ID,0.25,A,2008/8/2
ID,0.25,A,2008/8/18
ID,0.25,A,2008/7/31
ID,0.25,A,2008/8/7
ID,0.25,A,2008/8/7
ID,0.25,A,2008/8/7
ID,0.25,A,2008/8/8
ID,0.25,A,2008/8/8
IL,0.25,A,2007/4/27
IL,0.25,A,2006/3/2
IL,0.25,A,2007/5/1
IL,9.7,B,2007/8/1
IL,0.25,A,2007/6/7
IL,0.25,A,2007/9/18
KY,99,C,2006/4/13
KY,99,C,2006/4/12
KY,9.5,B,2006/3/3
KY,9.5,B,2006/12/11
LA,0.25,A,2005/1/3
LA,0.25,A,2005/1/22
LA,0.25,A,2005/1/27
LA,0.25,A,2005/1/25
LA,0.25,A,2005/1/16
LA,0.25,A,2005/1/17
