STATE,FIRE_SIZE,FIRE_SIZE_CLASS,DISCOVERY_DATE
ID,0.25,A,2005/8/28
NM,0.25,A,2005/9/5
NM,0.25,A,2005/10/11
AZ,0.25,A,2005/7/17
AZ,0.25,A,2005/7/17
MO,0.25,A,2005/4/3
CO,0.25,A,2005/7/16
MO,0.25,A,2005/6/15
WY,0.25,A,2005/8/16
CO,0.25,A,2005/7/20
CA,0.25,A,2005/9/4
CO,0.25,A,2005/8/3
CO,0.25,A,2005/8/8
MT,0.25,A,2005/8/22
NM,0.25,A,2005/10/9
KY,0.25,A,2005/4/9
CA,0.25,A,2005/9/26
ID,0.25,A,2005/7/31
ID,0.25,A,2005/7/31
KY,0.25,A,2005/4/10
ID,0.25,A,2005/8/6
OR,0.25,A,2005/10/18
AZ,0.25,A,2005/7/18
AZ,0.25,A,2005/7/19
AZ,0.25,A,2005/7/20
CA,0.25,A,2005/8/21
MT,0.25,A,2005/6/25
MT,0.25,A,2005/8/31
MO,0.25,A,2005/4/2
MT,0.25,A,2005/9/4
ID,0.25,A,2005/9/9
ID,0.25,A,2005/9/22
MT,0.25,A,2005/7/31
MT,0.25,A,2005/8/3
NM,0.25,A,2005/6/5
MT,0.25,A,2005/8/6
OR,0.25,A,2005/8/2
OR,0.25,A,2005/10/14
MT,0.25,A,2005/8/7
MT,0.25,A,2005/8/9
MT,0.25,A,2005/7/6
MT,0.25,A,2005/7/17
CA,0.25,A,2005/9/9
CA,0.25,A,2005/9/7
WY,0.25,A,2005/6/29
MO,0.25,A,2005/10/23
ID,99,C,2005/8/4
ID,0.25,A,2005/8/17
ID,0.25,A,2005/8/13
OR,0.25,A,2005/10/27
ID,0.25,A,2005/8/28
IL,0.25,A,2005/3/17
WY,0.25,A,2005/7/15
ID,0.25,A,2005/9/21
WY,0.25,A,2005/7/16
ID,0.25,A,2005/10/23
MT,0.25,A,2005/6/14
CA,0.25,A,2005/7/2
CA,0.25,A,2005/6/3
CA,0.25,A,2005/7/11
CA,0.25,A,2005/7/29
AR,0.25,A,2005/9/29
CA,0.25,A,2005/7/29
AR,0.25,A,2005/11/4
UT,0.25,A,2005/10/18
NM,0.25,A,2005/6/25
CA,0.25,A,2005/7/30
CA,0.25,A,2005/8/9
MT,0.25,A,2005/7/25
ID,0.25,A,2005/8/3
MT,0.25,A,2005/8/4
OR,0.25,A,2005/10/18
ID,0.25,A,2005/8/12
CA,0.25,A,2005/8/7
CA,0.25,A,2005/10/30
ID,0.25,A,2005/10/24
WY,0.25,A,2005/9/9
CA,0.25,A,2005/8/16
WY,0.25,A,2005/9/19
CA,0.25,A,2005/9/4
CA,0.25,A,2005/10/14
OR,0.25,A,2005/8/1
OR,0.25,A,2005/8/22
MT,0.25,A,2005/11/12
ID,0.25,A,2005/6/23
CO,0.25,A,2005/7/28
CO,0.25,A,2005/8/1
MT,0.25,A,2005/6/21
CA,0.25,A,2005/9/13
NC,0.25,A,2005/10/31
NM,9.6,B,2005/7/4
SD,0.25,A,2005/9/10
MT,0.25,A,2005/8/29
KY,0.25,A,2005/11/7
MT,0.25,A,2005/9/18
AZ,0.25,A,2005/6/6
ID,0.25,A,2005/8/3
ID,0.25,A,2005/8/9
AZ,0.25,A,2005/7/14
CA,0.25,A,2005/9/26
UT,0.25,A,2005/6/24
NC,0.25,A,2005/11/12
ID,0.25,A,2005/8/21
CA,0.25,A,2005/7/23
CA,0.25,A,2005/9/18
CA,0.25,A,2005/8/19
NM,0.25,A,2005/7/13
NM,0.25,A,2005/7/13
CA,0.25,A,2005/9/16
CA,0.25,A,2005/8/23
ID,0.25,A,2005/8/2
ID,0.25,A,2005/8/14
ID,0.25,A,2005/8/8
CA,0.25,A,2005/10/11
ID,0.25,A,2005/8/12
NM,0.25,A,2005/7/17
NM,0.25,A,2005/7/17
NM,0.25,A,2005/7/19
ID,0.25,A,2005/10/19
AZ,0.25,A,2005/9/1
ID,0.25,A,2005/10/20
CO,0.25,A,2005/7/16
ID,0.25,A,2005/10/22
AZ,0.25,A,2005/6/11
ID,0.25,A,2005/10/21
NM,0.25,A,2005/11/8
ID,0.25,A,2005/7/17
AZ,0.25,A,2005/8/9
AZ,0.25,A,2005/7/8
AZ,0.25,A,2005/7/24
GA,0.25,A,2005/2/11
CA,0.25,A,2005/9/14
AZ,0.25,A,2005/3/8
NM,0.25,A,2005/7/23
CA,0.25,A,2005/10/17
NM,0.25,A,2005/7/29
ID,0.25,A,2005/10/20
NM,0.25,A,2005/8/5
AZ,0.25,A,2005/6/29
AZ,0.25,A,2005/7/8
AR,99,C,2005/11/24
MT,9.8,B,2005/8/8
KY,0.25,A,2005/11/28
AZ,0.25,A,2005/7/21
